_id,LOC,Contract_definitions,FunctionDefinitions,Function calls,ExpressionStatements,EventDefinitions,ElementaryType_addresses,Modifier_Definitions,Modifier_Invocations,Approvefunction_Definitions,Binary_Operations,Blocks,Bytes,Placeholder_statements,Constant_values,Hexadecimal_addresses
10565,30,1,2,0,5,0,0,0,0,0,32,7,0,0,0,0
10642,9,2,3,0,2,0,2,0,0,0,1,2,0,0,0,0
10658,9,1,1,0,1,0,0,0,0,0,3,4,2,0,0,0
10661,519,11,92,0,124,12,117,1,2,1,182,53,60,0,0,7
10685,23,1,3,0,5,0,3,0,0,0,4,8,0,0,1,1
10690,218,1,17,0,68,9,26,9,20,0,75,34,3,0,6,0
10694,12,1,5,0,0,0,2,0,0,0,3,5,5,0,0,2
10700,17,1,3,0,0,0,1,0,0,0,0,3,0,0,0,1
10724,56,4,20,0,21,0,22,0,0,0,0,1,0,0,0,4
10725,18,2,5,1,5,1,5,0,0,0,3,3,3,0,0,0
10726,134,1,16,0,36,2,28,0,0,1,88,34,0,0,5,0
10731,56,4,20,0,21,0,22,0,0,0,0,1,0,0,0,5
10733,151,5,46,0,52,0,36,2,22,2,51,51,27,0,6,1
10734,125,5,27,10,53,3,33,2,9,2,74,25,2,0,6,1
10735,561,11,78,16,190,15,71,22,56,1,237,116,39,0,1,0
10737,765,21,141,21,191,15,98,7,33,4,301,184,10,0,0,3
10738,316,7,57,0,153,11,69,3,31,2,180,60,14,0,0,5
10739,524,20,86,0,153,10,88,4,23,3,173,99,7,0,0,0
10741,991,10,141,0,360,6,45,4,64,1,663,179,255,0,5,27
10742,110,4,18,0,54,3,24,1,5,1,61,19,2,0,0,2
10743,72,3,19,0,21,4,26,0,0,2,36,13,0,0,10,0
10744,17,2,4,0,7,1,5,1,2,0,7,6,0,0,0,0
10746,147,5,30,10,48,9,42,3,11,2,71,32,0,0,6,0
10747,28,2,13,0,2,0,7,0,0,0,2,3,0,0,0,1
10749,85,5,24,6,29,3,30,1,2,2,40,18,2,0,6,3
10751,157,2,16,0,71,5,33,5,11,1,109,32,0,0,0,6
10754,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10757,148,4,23,0,62,3,27,1,9,1,69,28,2,0,0,1
10758,367,15,56,8,128,15,59,5,22,3,181,72,0,0,14,6
10760,52,5,14,0,13,2,13,0,0,1,20,10,0,0,0,2
10761,870,4,128,0,322,1,35,9,77,0,706,169,257,0,5,32
10764,85,4,20,0,25,5,31,3,5,2,39,22,0,0,8,0
10765,185,5,23,4,34,3,30,2,5,0,56,26,1,0,0,8
10770,131,1,12,0,46,0,0,0,0,0,90,26,0,0,1,3
10771,87,5,17,0,38,0,13,2,7,1,60,22,0,0,0,2
10773,253,10,53,0,100,5,52,5,30,2,101,61,0,0,5,3
10776,313,12,51,0,117,11,61,7,22,2,123,57,8,0,4,6
10777,264,2,22,0,79,10,27,9,23,0,96,42,3,0,7,0
10778,400,3,30,0,2,0,43,0,0,0,8,24,86,0,0,0
10779,620,17,113,12,188,9,95,2,6,2,241,106,51,0,0,11
10781,89,8,19,0,30,4,25,2,4,2,37,16,0,0,8,0
10782,86,6,23,0,25,3,29,1,2,2,52,19,0,0,9,0
10783,25,1,3,1,5,1,5,1,1,0,6,4,0,0,0,0
10784,132,5,28,0,57,5,31,3,13,2,68,26,0,0,0,0
10786,405,18,61,23,69,14,78,6,27,3,86,66,13,0,0,1
10787,55,3,12,4,15,2,22,0,0,2,21,9,3,0,0,0
10788,176,8,24,0,81,4,31,2,6,2,102,31,0,0,4,2
10789,195,7,35,17,60,10,43,3,14,3,102,37,0,0,0,1
10790,193,11,34,0,75,8,44,5,14,3,71,37,0,0,10,9
10791,113,2,14,5,37,3,23,3,10,1,72,30,0,0,0,12
10794,191,11,43,0,60,8,41,7,22,2,81,51,4,0,11,0
10795,448,8,48,21,110,17,84,3,13,2,198,88,4,0,5,3
10796,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10797,65,3,13,0,20,1,6,0,0,0,65,17,0,0,6,3
10798,85,5,24,0,35,3,30,1,2,2,40,18,2,0,6,2
10799,19,2,6,0,7,0,6,0,0,0,6,4,0,0,1,2
10800,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10801,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10802,196,2,34,0,89,2,30,0,0,0,165,53,1,0,7,1
10804,85,5,24,6,29,3,30,1,2,2,40,18,2,0,6,3
10805,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10808,93,5,22,1,21,3,26,0,0,1,28,21,0,0,0,2
10809,341,4,31,1,94,1,29,3,14,0,183,55,27,0,0,16
10811,409,19,100,14,138,12,93,4,10,2,129,102,38,0,0,6
10812,92,2,9,0,42,0,8,0,0,0,67,16,1,0,1,5
10813,86,7,19,0,30,2,25,1,1,2,46,17,0,0,4,0
10814,485,13,87,0,145,11,75,7,33,2,219,117,0,0,38,0
10816,146,4,25,0,50,8,51,3,3,0,59,36,0,0,15,1
10817,175,9,28,0,49,6,30,6,11,2,91,35,0,0,8,0
10818,485,13,87,0,145,11,75,7,33,2,219,117,0,0,38,0
10822,638,25,93,12,127,11,103,5,14,3,203,146,13,0,0,3
10823,113,3,20,5,50,4,37,2,6,1,94,23,4,0,1,1
10824,186,9,43,0,58,9,44,2,11,2,65,40,0,0,0,1
10826,39,2,5,0,18,2,12,0,0,0,24,5,1,0,0,1
10827,145,3,22,2,26,1,18,2,2,1,49,20,17,0,0,3
10828,22,1,3,0,10,1,4,0,0,0,23,3,0,0,0,0
10830,91,4,16,7,38,3,25,1,4,1,51,18,2,0,1,2
10831,485,13,87,0,145,11,75,7,33,2,219,117,0,0,38,0
10832,274,2,23,0,89,10,28,9,27,0,102,43,4,0,7,0
10833,184,10,32,0,43,5,32,1,5,2,84,54,0,0,12,0
10835,217,11,39,0,74,7,46,2,8,2,96,40,0,0,12,6
10837,162,3,18,15,72,7,35,2,10,2,115,25,0,0,0,3
10838,344,8,58,11,126,17,117,4,18,2,157,65,30,0,0,6
10840,85,5,24,6,29,3,30,1,2,2,40,18,2,0,6,2
10842,85,5,24,6,29,3,30,1,2,2,40,18,2,0,6,3
10844,155,6,33,0,57,7,38,2,8,2,76,32,0,0,4,0
10846,994,7,146,0,366,5,32,9,82,0,713,189,264,0,2,27
10847,193,1,26,0,52,0,6,1,1,0,249,37,0,0,9,18
10849,86,7,19,5,25,2,25,1,1,2,43,17,0,0,4,0
10850,402,6,50,0,146,8,46,3,8,2,462,108,0,0,16,22
10851,108,7,24,9,33,4,31,1,3,2,54,22,0,0,0,1
10852,50,5,15,0,17,3,20,1,5,1,15,10,0,0,3,1
10853,205,11,41,0,87,9,45,4,20,3,90,42,0,0,9,5
10854,76,4,23,5,20,3,27,1,2,2,26,18,0,0,0,0
10855,214,3,42,0,85,0,18,0,0,0,132,50,0,0,24,1
10856,59,1,8,5,27,2,13,3,9,1,36,11,0,0,0,5
10857,86,5,24,0,35,3,30,1,2,2,42,18,2,0,6,0
10858,87,7,22,0,23,2,23,2,3,2,52,22,0,0,8,0
10859,108,7,24,9,33,4,31,1,3,2,54,22,0,0,0,1
10860,232,5,33,0,55,4,26,6,20,0,83,44,8,0,12,2
10863,233,11,35,0,96,8,44,8,18,2,116,44,0,0,0,0
10865,87,7,22,0,23,2,23,2,3,2,52,22,0,0,8,0
10866,200,1,26,0,86,3,26,1,5,1,130,53,0,0,12,0
10867,45,2,5,0,14,4,9,0,0,0,19,6,0,0,1,1
10868,282,16,60,7,107,11,61,4,19,2,115,63,0,0,0,0
10869,60,3,14,2,20,3,17,1,4,1,54,9,0,0,0,2
10870,125,5,27,7,33,7,39,3,9,2,52,26,0,0,6,1
10871,86,9,23,0,26,2,28,1,4,2,36,19,0,0,9,0
10872,170,6,34,0,64,4,32,1,3,2,97,34,17,0,10,1
10873,684,11,79,9,219,18,108,13,37,0,250,93,84,0,0,7
10874,84,7,23,0,24,2,23,2,4,2,43,23,0,0,4,0
10876,134,3,19,7,40,7,20,1,3,0,63,29,1,0,0,0
10877,80,1,15,0,31,0,8,3,4,0,38,23,0,0,7,0
10881,33,2,6,0,11,0,5,1,3,0,18,9,0,0,0,0
10882,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10884,59,1,8,0,32,2,13,3,9,1,36,11,0,0,0,5
10886,149,4,24,0,63,3,28,1,10,1,70,30,2,0,0,1
10889,225,8,38,0,86,15,43,3,20,2,95,46,6,0,0,0
10890,198,11,33,10,41,7,38,5,19,3,52,35,0,0,0,0
10891,648,18,114,14,155,13,70,7,32,2,245,153,10,0,0,3
10892,124,4,30,9,37,2,27,0,1,2,54,26,0,0,0,0
10893,60,4,14,0,21,2,24,0,0,2,32,9,2,0,4,2
10895,147,3,24,9,65,2,28,1,7,1,91,34,0,0,1,1
10896,75,4,16,0,21,2,21,2,5,1,32,17,0,0,0,0
10897,52,1,7,0,24,2,15,1,1,1,36,8,0,0,2,0
10898,321,2,32,5,62,5,27,4,10,0,199,49,2,0,0,8
10899,148,5,30,10,48,9,42,3,13,2,71,32,0,0,6,0
10903,125,5,22,7,48,3,26,1,5,1,70,24,2,0,0,3
10904,129,4,22,0,40,5,18,0,0,1,90,25,0,0,13,2
10907,63,2,9,0,26,1,7,1,2,0,49,12,0,0,2,2
10908,521,11,65,0,231,11,86,7,30,2,482,112,8,0,0,5
10909,532,10,65,11,219,5,93,8,32,2,306,109,0,0,0,0
10911,181,4,29,9,36,9,54,5,15,0,24,19,38,0,0,0
10912,191,2,18,0,86,5,40,5,5,0,97,41,0,0,1,0
10914,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10915,204,10,48,0,61,3,61,8,40,3,74,64,0,0,6,1
10916,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10918,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10919,322,12,49,14,76,10,48,6,19,3,86,55,0,0,0,0
10922,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10923,49,5,14,0,11,2,13,0,0,1,18,10,0,0,0,2
10924,76,6,17,0,22,2,23,0,0,2,35,14,0,0,8,0
10926,216,2,25,0,50,5,24,2,4,0,179,39,0,0,0,3
10927,250,12,41,13,65,9,44,5,12,2,73,48,0,0,0,0
10930,98,8,20,6,29,4,27,1,2,2,53,17,0,0,0,0
10931,71,2,11,6,35,2,13,1,5,0,44,14,0,0,0,1
10932,122,10,29,0,47,5,36,3,7,2,52,29,2,0,11,5
10933,164,4,22,0,66,5,30,3,5,2,126,33,0,0,8,4
10935,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10937,180,9,30,15,50,6,40,4,12,2,86,34,0,0,0,4
10938,397,10,68,8,126,5,87,2,21,1,252,90,8,0,0,0
10939,422,11,80,14,169,8,64,3,38,2,346,104,0,0,8,9
10940,75,4,16,1,30,2,9,1,6,0,46,17,0,0,0,0
10941,123,6,24,3,32,5,21,0,0,1,50,23,0,0,0,0
10943,80,3,19,5,25,2,23,1,2,2,50,16,0,0,0,6
10944,23,1,5,0,9,0,5,1,1,0,10,6,0,0,0,0
10945,148,5,30,10,48,9,42,3,13,2,71,32,0,0,6,0
10947,82,3,16,4,39,2,18,0,0,1,65,17,2,0,0,1
10949,85,5,24,0,35,3,30,1,2,2,40,18,2,0,6,2
10950,304,11,52,9,101,9,78,2,23,1,137,60,11,0,0,0
10951,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10953,147,5,27,8,58,7,31,1,9,2,100,26,0,0,4,3
10955,310,3,26,0,98,11,30,13,37,0,93,51,6,0,7,0
10956,83,5,24,0,32,3,30,1,2,2,41,18,0,0,6,0
10957,208,6,40,0,54,2,42,3,7,2,112,59,0,0,15,0
10958,131,4,18,0,43,6,21,1,1,1,76,20,0,0,0,2
10959,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10960,63,4,14,3,19,4,17,1,3,0,36,14,0,0,0,1
10961,136,3,22,5,44,4,29,2,4,1,71,27,0,0,0,2
10962,182,5,35,9,71,7,36,1,9,1,145,36,0,0,0,0
10963,82,4,23,0,26,2,22,0,0,2,54,17,0,0,10,1
10964,116,2,16,0,25,5,17,0,0,0,65,30,0,0,2,0
10968,38,2,5,0,11,0,3,0,0,0,40,13,0,0,0,2
10969,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10970,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10971,51,2,11,1,23,1,8,1,8,0,41,14,0,0,0,2
10972,443,21,243,0,55,2,107,2,1,1,84,55,70,0,0,1
10974,96,5,24,0,40,3,30,1,2,2,53,20,2,0,6,0
10975,48,2,7,0,15,0,4,0,0,0,12,9,0,0,0,1
10976,441,11,42,12,190,5,37,3,18,3,322,93,0,0,0,0
10978,35,2,3,0,12,2,7,0,0,0,14,2,0,0,0,0
10981,117,5,25,10,40,7,30,3,10,2,60,26,0,0,6,0
10982,147,9,33,11,41,5,40,1,2,2,69,32,2,0,1,3
10983,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10984,85,5,24,0,35,3,30,1,2,2,40,18,2,0,6,2
10985,386,10,75,24,73,13,70,6,21,4,140,73,16,0,0,1
10986,130,4,29,9,43,2,28,0,1,2,62,29,0,0,0,1
10988,105,5,22,7,22,2,22,0,0,1,45,23,5,0,2,1
10989,1,1,20,0,47,2,17,0,0,1,97,26,8,0,8,0
10990,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10994,1001,13,151,13,354,24,104,3,65,0,721,175,261,0,2,31
10995,54,1,8,0,21,3,17,1,2,1,30,14,0,0,2,3
10996,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
10998,132,6,19,0,30,1,23,6,11,0,94,20,0,0,8,0
10999,234,10,42,16,78,6,43,3,15,2,100,51,0,0,6,10
11001,1053,22,160,51,363,42,158,1,37,3,476,194,49,0,0,27
11004,31,4,11,0,6,0,9,1,2,0,8,8,0,0,0,0
11006,241,13,61,6,76,4,69,5,7,2,86,53,19,0,0,8
11009,81,6,21,0,16,2,30,2,9,2,14,24,0,0,4,2
11010,217,2,28,13,94,8,29,7,29,1,150,46,0,0,3,0
11012,101,1,8,0,32,3,6,0,0,0,36,22,2,0,0,0
11015,299,9,57,0,56,18,56,2,18,2,81,72,3,0,12,6
11016,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11017,166,11,34,11,50,6,42,2,7,2,61,30,8,0,0,0
11019,121,3,26,0,50,3,25,2,5,0,73,35,31,0,0,0
11020,369,19,73,0,148,5,57,5,35,2,155,85,2,0,0,5
11022,132,2,29,0,49,2,22,1,11,1,64,24,0,0,9,0
11024,379,3,48,0,118,7,49,2,4,1,281,67,0,0,5,25
11025,198,5,32,11,63,10,44,3,16,2,135,50,0,0,6,1
11026,204,10,48,0,61,3,61,8,40,3,74,64,0,0,6,1
11027,111,3,22,0,47,6,24,0,0,0,58,22,6,0,0,0
11029,75,2,14,6,21,3,19,0,0,1,38,17,0,0,1,1
11030,257,2,22,0,93,10,27,9,23,0,103,42,3,0,7,0
11031,343,16,67,16,108,10,60,5,27,3,135,72,0,0,0,5
11032,85,5,24,0,35,3,30,1,2,2,40,18,2,0,6,2
11035,453,12,64,0,135,11,74,5,15,2,215,105,30,0,7,12
11037,44,3,7,0,18,3,13,2,5,0,17,17,0,0,1,0
11038,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11039,1173,10,153,13,427,8,44,9,81,0,818,235,286,0,6,29
11040,86,6,17,1,21,1,8,0,2,0,40,24,2,0,0,1
11041,17,3,4,0,6,0,4,1,2,0,4,6,0,0,0,1
11042,202,9,35,9,49,6,34,5,20,3,56,37,0,0,0,0
11044,430,6,31,0,180,4,26,2,2,0,350,98,0,0,0,0
11046,238,9,39,0,86,9,45,4,14,2,187,53,0,0,4,1
11047,34,2,10,0,9,0,6,0,0,0,11,13,0,0,6,0
11048,26,3,6,0,9,0,7,1,2,0,10,5,0,0,0,0
11050,145,4,26,10,66,7,45,1,7,0,66,33,8,0,0,0
11051,266,2,22,14,75,10,27,9,23,0,97,42,3,0,7,0
11052,435,8,81,9,154,1,77,1,8,0,201,90,0,0,0,6
11054,84,4,19,0,33,3,30,0,1,2,43,16,2,0,2,1
11055,72,3,12,0,21,1,8,0,0,0,54,15,0,0,6,5
11056,80,3,19,5,25,2,23,1,2,2,50,16,0,0,0,6
11060,167,6,33,0,63,7,39,2,8,2,117,38,0,0,4,0
11061,198,5,32,11,63,10,44,3,16,2,135,50,0,0,6,1
11063,133,9,28,10,38,6,29,3,8,2,50,28,0,0,0,0
11064,806,5,120,0,298,5,39,6,80,0,577,149,254,0,1,31
11065,85,5,24,6,29,3,30,1,2,2,41,18,2,0,6,3
11066,85,5,24,0,35,3,30,1,2,2,40,18,2,0,6,2
11067,315,2,31,0,67,5,28,4,10,0,203,48,0,0,0,8
11070,272,5,44,0,103,9,53,2,10,2,202,48,13,0,0,8
11071,10,1,1,0,3,0,2,0,0,0,9,2,0,0,0,0
11072,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11073,17,2,4,0,7,1,5,1,2,0,7,6,0,0,0,0
11074,224,1,18,0,78,9,27,9,22,0,80,35,4,0,6,0
11075,202,7,45,11,72,7,86,1,10,2,123,51,16,0,11,1
11076,325,8,51,0,112,11,66,6,28,3,144,71,0,0,11,3
11077,48,2,8,0,25,0,7,0,0,0,40,6,0,0,0,3
11079,180,3,25,0,69,2,15,4,15,0,93,40,2,0,4,0
11080,132,2,29,0,49,2,22,1,11,1,64,24,0,0,9,0
11081,79,3,16,0,25,2,25,0,0,2,37,22,3,0,5,0
11082,154,2,15,0,53,6,21,0,0,1,50,19,0,0,6,2
11083,208,7,58,0,53,0,34,4,22,0,109,70,3,0,0,0
11084,171,6,39,8,46,3,28,4,13,0,65,53,9,0,0,0
11087,134,2,23,2,43,2,18,0,0,0,49,26,0,0,0,2
11090,241,9,37,6,76,6,48,4,11,2,105,50,7,0,0,0
11091,143,6,27,0,34,2,32,1,2,2,70,26,0,0,8,2
11094,153,2,31,14,37,14,29,0,0,0,68,36,0,0,1,0
11098,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11099,140,6,29,7,42,7,40,4,11,2,65,29,0,0,8,0
11100,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11101,409,7,72,0,94,13,36,1,3,0,83,46,72,0,8,0
11103,46,3,12,0,16,0,10,0,0,0,31,13,0,0,0,0
11105,80,3,19,5,25,2,23,1,2,2,50,16,0,0,0,6
11106,86,5,24,0,35,3,30,1,2,2,42,18,2,0,0,0
11107,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11108,239,8,35,12,102,6,53,9,24,2,165,47,3,0,1,3
11109,256,16,64,14,59,10,71,4,20,5,101,72,21,0,1,1
11110,96,5,24,0,40,3,30,1,2,2,53,20,2,0,6,0
11112,123,4,31,6,30,4,33,0,0,2,69,30,2,0,0,3
11113,85,5,24,6,29,3,30,1,2,2,40,18,2,0,6,3
11114,227,8,30,0,80,8,33,7,12,2,112,66,0,0,4,1
11115,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11116,270,13,50,14,97,11,56,3,11,2,129,55,0,0,0,3
11117,108,3,22,10,46,4,28,1,2,2,75,19,0,0,0,0
11118,63,4,13,2,20,2,8,1,3,0,28,12,0,0,3,2
11120,10,1,2,1,2,1,4,0,0,0,1,2,0,0,0,0
11123,49,4,10,2,16,3,10,3,4,0,12,10,0,0,0,1
11124,178,9,34,13,51,7,37,2,7,2,93,37,0,0,0,3
11125,129,3,14,0,33,0,7,1,1,0,55,19,0,0,0,6
11126,124,6,23,4,31,3,34,3,6,2,63,28,2,0,4,0
11127,71,4,18,0,23,2,20,3,3,1,32,20,0,0,3,0
11128,62,4,13,2,20,2,10,1,3,0,28,12,0,0,3,0
