_id,Contract_definitions
100646,23
100647,5
100648,14
100649,10
10065,2
100651,8
100652,3
100653,10
100654,3
100656,3
100657,7
100658,8
100659,7
10066,1
100660,6
100661,3
100662,19
100663,3
100664,11
100665,11
100668,10
100669,6
10067,1
100671,3
100672,2
100673,10
100674,5
100675,16
100676,9
100677,7
100678,14
10068,1
100682,12
100683,8
100684,10
100685,1
100686,9
100687,10
100688,4
10069,2
100690,11
100691,4
100692,4
100693,3
100695,2
100696,8
100697,8
100698,7
100699,4
10070,1
100701,14
100702,16
100703,10
100707,2
100708,84
10071,1
100710,6
100711,15
100713,3
100714,13
100716,10
100717,14
100718,2
100719,4
10072,1
100720,7
100721,6
100723,8
100724,7
100725,3
100726,4
100728,21
100729,8
10073,3
100730,3
100731,22
100733,19
100735,19
100736,3
100738,12
100739,18
10074,2
100740,10
100741,2
100743,3
100744,13
100745,4
100749,4
10075,1
100751,12
100752,6
100753,7
100754,7
100755,8
100756,7
100757,12
100759,2
10076,1
100760,6
100762,13
100763,4
100765,10
100766,8
100767,2
100768,5
10077,1
100770,5
100771,4
100772,8
100773,3
100774,10
100775,5
100776,5
100778,5
100779,11
100780,18
100781,19
100782,14
100784,11
100785,8
100786,6
100787,3
100788,6
100789,2
100790,72
100791,10
100792,5
100793,2
100794,10
100795,3
100798,5
100799,9
100801,6
100802,29
100803,2
100804,7
100806,2
100807,2
100808,4
100809,4
10081,1
100810,15
100811,8
100815,2
100817,11
100818,7
100819,5
10082,1
100820,4
100821,2
100822,2
100823,2
100824,7
100825,2
100826,5
100827,15
100829,8
100830,2
100831,10
100832,17
100833,4
100834,5
100835,11
100836,3
100837,4
100838,14
100839,8
100840,20
100841,7
100842,9
100843,4
100844,12
100845,2
100846,23
100848,10
100849,8
100850,8
100851,10
100852,7
100853,10
100854,17
100856,10
100857,12
100858,33
100860,7
100861,6
100862,8
100864,4
100865,10
100867,18
100869,1
100870,10
100871,11
100872,10
100873,10
100875,8
100876,25
100878,4
100879,4
100880,9
100881,2
100883,8
100884,4
100886,9
100887,6
100888,4
100889,1
100890,7
100891,6
100892,10
100893,5
100896,19
100897,6
100898,3
100899,8
100900,11
100901,16
100902,9
100904,1
100906,92
100907,8
100908,4
100909,28
100910,6
100913,11
100914,7
100915,5
100916,7
100917,9
100920,10
100921,6
100922,10
100925,2
100926,2
100927,2
100928,20
100929,9
100930,4
100932,1
100933,3
100934,9
100935,8
100936,5
100937,4
100938,4
100939,6
100940,10
100941,4
100942,10
100943,5
100945,7
100946,5
100947,9
100948,13
100949,7
100950,14
100951,10
100952,8
100954,7
100955,7
100956,12
100957,6
100960,2
100961,11
100962,4
100963,3
100964,4
100965,5
100966,20
100967,9
100968,8
100969,5
100970,9
100971,8
100973,3
100974,2
100975,7
100976,10
100978,6
100979,8
100980,9
100982,10
100984,8
100985,86
100986,16
100987,9
100988,18
100989,8
10099,1
100990,9
100992,5
100994,35
100995,1
100996,11
100998,37
101000,5
101001,4
101002,5
101003,5
101004,24
101006,6
101007,10
101008,22
101010,2
101011,5
101012,5
101014,8
101017,8
101018,16
101019,3
101021,10
101022,7
101023,7
101024,4
101025,42
101027,10
101028,5
101029,7
101030,17
101031,7
101033,5
101034,10
101036,13
101038,9
101039,7
101040,10
101041,14
101044,5
101045,4
101046,23
101047,4
101049,2
101050,6
101051,11
101052,9
101053,85
101055,3
101057,16
101058,47
10106,1
101060,8
101061,9
101063,2
101064,12
101065,9
101066,5
101072,6
101073,19
101074,4
101075,12
101076,8
101077,19
101078,7
101081,84
101083,2
101086,5
101088,6
101089,13
101091,10
101094,17
101095,11
101096,4
101097,8
101098,8
101099,2
101101,7
101104,2
101105,2
101108,6
101109,6
101110,4
101111,11
101112,15
101113,2
101114,7
101115,9
101117,8
101118,24
101119,19
101120,7
101121,14
101122,18
101124,6
101125,14
101126,9
101127,4
101128,17
101129,8
10113,1
101130,4
101131,5
101132,7
101134,10
101135,37
101136,2
101137,9
101140,4
101142,6
101143,18
101144,4
101145,12
101146,17
101147,3
101148,2
101149,18
101150,2
101152,3
101153,5
101155,25
101156,10
101158,10
101162,6
101164,8
101165,11
101167,12
101168,7
101169,5
101170,10
101172,4
101173,18
101174,14
101175,33
101176,2
101178,5
101179,6
101181,7
101182,9
101183,4
101184,29
101185,84
101187,5
101188,10
101190,9
101191,6
101192,14
101193,17
101194,5
101195,7
101197,10
101198,10
101200,27
101201,25
101202,33
101203,9
101204,5
101205,10
101207,4
101208,7
101209,3
101210,8
101211,11
101212,4
101214,14
101215,9
101217,3
101218,12
101219,5
101220,6
101222,6
101223,10
101225,5
101226,7
101228,9
101229,5
101230,13
101232,7
101233,12
101234,3
101235,8
101238,13
101239,16
101240,13
101241,12
101242,7
101244,3
101245,6
101246,7
101247,2
101248,15
101249,6
101250,25
101251,4
101253,12
101254,6
101255,20
101256,1
101258,13
101259,3
10126,1
101260,13
101261,9
101262,8
101264,7
101265,9
101267,9
101268,19
101270,6
101271,7
101272,7
101274,12
101275,5
101276,3
101277,11
101278,2
101279,1
101280,20
101281,5
101282,19
101283,10
101284,6
101285,8
101286,5
101287,18
101289,5
101290,3
101291,4
101292,9
101293,2
101297,7
101298,3
101299,4
101300,9
101301,4
101304,8
101306,12
101309,7
101310,11
101311,8
101314,3
101315,6
101316,2
101319,2
101320,3
101321,3
101322,14
101324,14
101325,5
101326,8
101327,5
101328,14
101329,3
101330,8
101331,8
101332,13
101333,10
101334,11
101336,4
101337,8
101338,22
101339,7
101340,3
101343,8
101345,8
101347,11
101349,3
101350,6
101351,10
101355,5
101356,25
101358,5
101359,5
101360,12
101361,12
101362,3
101363,4
101367,21
101368,3
101370,13
101371,8
101373,3
101377,5
101378,8
101379,4
101380,21
101381,4
101382,11
101383,6
101384,5
101385,4
101387,3
101388,5
101389,11
101390,8
101391,10
101393,9
101396,5
101397,3
101399,3
101400,33
101403,7
101404,18
101405,9
101407,2
101408,75
101411,3
101413,10
101414,3
101415,12
101416,10
101417,9
101418,10
101419,12
101421,5
101422,23
101424,4
101426,4
101427,5
101428,5
101429,15
101430,2
101431,3
101433,12
101434,1
101435,3
101437,4
101438,4
101439,8
101440,10
101441,7
101443,8
101444,2
101445,8
101446,28
101447,4
101450,10
101451,3
101452,10
101453,3
101454,4
101455,7
101456,8
101457,7
101458,4
10146,1
101460,2
101461,3
101462,14
101464,9
101465,22
101466,4
101467,36
101468,13
101469,20
101471,4
101472,8
101473,5
101474,14
101475,4
101476,9
101477,9
101480,5
101481,4
101482,7
101483,9
101484,5
101485,36
101486,4
101487,19
101488,25
101489,10
101490,13
101492,11
101493,2
101494,22
101496,2
101497,13
101498,10
101499,3
101500,13
101503,9
101504,2
101505,7
101507,7
101508,9
101510,11
101512,3
101513,3
101514,8
101515,13
101516,5
101517,10
101518,19
101519,4
101521,6
101522,16
101524,4
101526,13
101527,18
101528,11
101529,13
101531,16
101533,28
101534,5
101535,12
101536,8
101537,4
101538,3
101539,2
101542,8
101543,89
101545,12
101547,12
10155,5
101550,16
101551,9
101552,10
101553,10
101554,2
101555,8
101556,8
101557,5
101558,9
101559,5
101560,8
101561,8
101562,12
101563,22
101564,1
101565,7
101566,84
101567,9
101568,7
101569,11
101571,5
101572,2
101573,5
101574,4
101575,1
101577,9
101578,7
101579,2
101580,7
101581,1
101582,12
101583,3
101584,4
101586,10
101588,10
101589,11
101592,3
101594,5
101595,4
101596,8
101598,22
101599,10
101600,6
101601,12
101602,11
101603,10
101604,4
101606,16
101608,1
101610,14
101612,2
101613,21
101616,13
101617,5
101618,12
101619,2
101621,4
101622,9
101623,84
101626,11
101627,13
101628,7
101629,28
101630,9
101631,8
101634,6
101635,6
101636,15
101638,8
101639,5
101640,9
101642,6
101643,14
101644,10
101646,18
101647,19
101648,3
101649,16
101650,3
101651,9
101652,8
101654,5
101655,1
101656,10
101657,9
101658,9
101659,19
101660,4
101661,6
101663,2
101664,5
101665,8
101666,3
101667,5
101668,7
101669,7
101670,7
101671,14
101673,7
101675,3
101676,6
101677,5
101678,4
101679,18
101680,4
101682,6
101683,10
101684,8
101685,6
101687,7
101688,13
101689,6
101690,5
101691,7
101692,20
101693,14
101695,5
101696,8
101697,24
101701,10
101702,8
101703,2
101704,7
101705,15
101706,5
101707,6
101708,5
101709,6
101710,85
101711,1
101714,5
101715,1
101717,10
101719,5
101721,12
101722,9
101723,7
101724,3
101727,7
101728,15
101729,11
101730,5
101731,9
101732,18
101733,10
101734,5
101735,3
101736,6
101739,10
101740,2
101741,10
101742,13
101744,1
101745,8
101746,10
101747,5
101749,2
101750,10
101753,3
101754,6
101755,9
101756,19
101757,5
101760,5
101761,7
101762,3
101764,13
101765,14
101766,14
101767,15
101768,5
101769,1
101770,20
101771,6
101773,10
101774,11
101775,5
101776,5
101777,7
101779,10
101780,21
101781,3
101782,3
101783,3
101785,13
101786,4
101787,5
101788,10
101790,4
101791,20
101792,21
101793,4
101794,2
101795,26
101796,8
101797,10
101799,18
101800,8
101801,2
101802,9
101803,9
101804,89
101805,5
101806,86
101808,2
101809,5
101810,14
101811,11
101813,10
101816,5
101817,4
101818,17
101820,5
101821,73
101822,4
101823,9
101824,5
101825,21
101826,7
101827,17
101828,85
101829,5
101830,10
101832,2
101833,6
101834,5
101835,10
101837,7
101838,7
101839,17
101840,6
101842,6
101843,6
101844,6
101845,11
101846,7
101847,11
101848,5
101849,4
10185,1
101850,2
101851,6
101852,5
101853,3
101854,5
101855,3
101856,3
101857,7
101858,2
101859,5
101860,8
101861,2
101862,9
101864,5
101865,4
101866,6
101867,5
101868,7
101869,4
101871,14
101872,7
101876,8
101878,10
101879,5
101880,11
101881,5
101883,13
101885,6
101886,17
101888,5
101889,8
101892,1
101894,12
101895,8
101898,8
101899,16
101900,9
101902,5
101903,14
101904,8
101905,17
101906,10
101907,2
101909,12
101910,9
101911,12
101913,21
101914,6
101915,4
101916,11
101917,7
101918,9
101921,8
101922,7
101923,7
101925,7
101926,16
101927,4
101928,12
101929,9
101930,4
101933,22
101935,10
101936,10
101937,9
101938,6
101940,10
101942,5
101943,4
101944,12
101945,6
101946,21
101947,1
101948,11
101949,9
101950,4
101951,92
101952,3
101954,4
101956,20
101957,18
101958,22
101960,5
101961,17
101962,14
101965,13
101966,5
101967,5
101969,2
101970,7
101971,4
101973,10
101974,7
101975,16
101976,15
101977,11
101978,9
101979,11
10198,1
101980,12
101981,3
101982,6
101983,12
101984,18
101985,2
101986,6
101987,4
101988,4
101989,21
101993,9
101994,7
101995,17
101996,12
101997,5
101998,11
101999,10
102000,5
102001,17
102002,37
102003,6
102004,5
102005,4
102006,13
102007,14
102008,7
102009,12
102010,2
102011,4
102014,47
102015,13
102016,15
102018,3
102019,12
102020,9
102021,3
102022,3
102023,4
102024,6
102026,6
102027,7
102028,3
102030,25
102031,21
102033,4
102034,12
102036,7
102037,3
102038,7
102039,3
102041,10
102042,13
102043,6
102044,17
102045,8
102048,19
102049,2
102051,5
102052,2
102053,6
102054,8
102055,11
102056,7
102058,7
102059,6
102060,3
102061,10
102062,5
102063,4
102064,6
102065,2
102066,9
102068,8
102069,7
102070,2
102071,4
102072,4
102073,10
102074,7
102075,16
102076,3
102077,5
102078,3
102080,3
102083,12
102084,6
102085,5
102086,6
102089,35
102091,3
102092,13
102093,5
102094,9
102095,9
102096,13
102097,9
102098,7
102099,5
102100,7
102101,19
102102,7
102103,3
102105,19
102106,10
102107,36
102108,21
102109,13
102110,7
102112,2
102113,8
102114,7
102115,13
102116,8
102117,5
102119,23
10212,1
102120,25
102121,2
102122,7
102123,5
102124,19
102125,7
102126,22
102127,8
102128,5
102129,29
102130,18
102131,12
102132,22
102133,85
102134,7
102135,7
102136,4
102138,4
102139,10
102141,4
102142,5
102143,7
102144,8
102145,4
102147,5
102149,10
102151,4
102152,3
102154,6
102155,11
102156,9
102157,35
102158,7
102159,8
102160,7
102162,4
102163,11
102168,17
102169,6
102170,9
102171,7
102173,19
102174,15
102177,3
102178,15
102179,13
102180,21
102181,10
102182,16
102183,9
102184,12
102185,9
102187,7
102188,3
102189,1
102190,18
102191,30
102192,2
102193,5
102194,28
102195,6
102197,12
102198,5
102199,9
10220,1
102200,9
102201,7
102202,2
102204,9
102205,20
102206,16
102208,9
102209,9
102210,8
102211,2
102212,9
102216,9
102218,7
102219,2
10222,2
102221,24
102225,8
102226,2
102227,13
102228,30
102229,4
102232,2
102233,8
102235,10
102236,19
102238,6
102239,7
102240,2
102242,10
102243,10
102244,8
102245,6
102246,7
102248,85
10225,1
102251,16
102252,4
102253,75
102256,5
102257,13
102258,4
102260,9
102261,6
102262,11
102263,4
102264,19
102266,13
102267,15
102268,10
102269,5
102270,5
102271,7
102272,5
102273,12
102274,3
102276,24
102278,9
102279,6
102280,12
102281,4
102282,3
102283,5
102284,3
102285,6
102286,5
102287,10
102288,7
102289,8
102290,11
102291,13
102292,17
102293,4
102295,6
102298,13
102299,13
102301,2
102302,6
102303,7
102304,6
102305,3
102306,9
102307,9
102309,6
102310,8
102311,6
102313,21
102314,10
102316,5
102317,17
102318,14
102319,10
102320,9
102322,10
102323,75
102329,6
102332,17
102334,85
102335,7
102337,5
102338,7
102339,7
102340,7
102341,21
102342,9
102344,4
102346,5
102347,4
102348,2
102349,11
102350,10
102351,3
102352,21
102354,9
102358,5
102359,7
10236,7
102361,7
102362,5
102363,3
102364,10
102365,2
102366,7
102368,34
102369,3
102370,7
102371,5
102372,6
102373,75
102374,6
102375,9
102376,2
102377,5
102378,27
102379,6
102380,5
102381,12
102382,68
102384,2
102385,29
102386,9
102387,9
102390,13
102391,18
102393,1
102394,2
102395,4
102396,13
102397,4
102399,33
102400,9
102401,1
102403,24
102404,8
102405,8
102406,3
102409,8
102410,7
102411,15
102412,10
102415,2
102416,3
102417,40
102419,7
10242,6
102420,10
102421,9
102424,2
102425,4
102426,2
102427,8
102428,17
102429,8
102430,6
102431,5
102432,3
102433,3
102434,5
102435,11
102438,5
102439,8
102440,3
102441,7
102442,2
102443,5
102445,13
102447,73
102449,11
10245,1
102451,4
102452,6
102453,5
102454,10
102456,28
102457,3
102458,8
102459,84
10246,1
102460,12
102462,7
102463,9
102464,24
102465,21
102466,7
102467,1
102468,6
102469,9
10247,1
102470,8
102471,3
102474,7
102475,2
102476,6
102477,6
102478,6
102479,11
102480,9
102481,5
102484,20
102486,4
102487,11
102488,3
102489,11
102490,14
102492,6
102493,10
102494,3
102495,10
102496,5
102497,8
102498,21
102499,20
102500,14
102501,10
102502,2
102503,2
102507,1
102508,6
102509,3
102510,4
102511,11
102512,1
102513,6
102514,36
102516,5
102517,2
102519,15
102520,11
102521,14
102522,15
102523,2
102524,2
102525,85
102528,9
102529,9
102530,1
102533,10
102537,7
102539,8
102540,6
102541,13
102542,5
102543,9
102544,13
102545,10
102546,75
102549,7
10255,3
102550,4
102551,4
102552,5
102553,5
102554,3
102556,5
102557,7
102558,4
102559,5
10256,1
102561,10
102562,36
102563,31
102564,9
102565,12
102567,1
102568,3
102569,3
102570,6
102571,8
102572,10
102573,9
102574,8
102575,6
102576,5
102577,14
102578,11
102579,24
102580,11
102581,13
102582,18
102583,13
102584,6
102585,10
102586,5
102588,87
102589,1
102590,6
102591,20
102593,8
102595,10
102596,12
102599,6
102600,1
102601,17
102602,5
102603,3
102606,5
102607,15
102608,28
102611,3
102612,7
102613,3
102614,5
102615,5
102616,2
102617,9
102618,12
102619,9
102620,8
102621,10
102622,11
102623,5
102624,12
102626,26
102628,12
10263,1
102630,2
102632,21
102635,4
102636,7
102639,3
102640,11
102642,6
102643,20
102644,3
102645,10
102646,3
102647,4
102648,4
102649,25
102650,9
102651,10
102652,8
102654,5
102655,19
102656,12
102657,6
102658,1
102659,8
102660,9
102661,2
102662,6
102663,3
102664,5
102665,4
102666,5
102667,6
102670,5
102671,23
102672,10
102673,86
102676,1
102678,3
102680,11
102681,9
102682,5
102683,3
102684,22
102687,3
102688,9
102689,23
10269,1
102690,18
102691,12
102692,8
102694,11
102695,6
102696,2
102699,5
102700,5
102702,3
102704,4
102705,5
102706,7
102707,3
102710,84
102711,91
102712,5
102713,6
102715,2
102716,8
102717,8
102718,16
102719,5
102720,5
102722,16
102723,3
102724,6
102725,2
102726,11
102728,10
102729,18
102730,5
102732,4
102733,3
102734,3
102735,6
102738,10
102739,24
102740,3
102741,1
102742,13
102744,6
102745,1
102747,5
102748,7
102749,86
102750,15
102751,7
102752,11
102753,1
102754,8
102755,11
102756,1
102757,7
102758,4
102759,3
102761,10
102763,6
102764,10
102766,5
102768,6
102769,9
102771,5
102772,6
102773,2
102774,2
102776,10
102777,42
102778,17
102780,10
102781,6
102783,4
102784,7
102785,3
102786,5
102787,11
102788,3
102789,13
102790,4
102791,11
102792,7
102793,9
102794,8
102795,10
102797,8
102798,20
102799,5
102800,6
102802,5
102803,3
102806,6
102809,75
102810,7
102811,5
102812,5
102813,5
102815,11
102816,10
102817,20
102818,5
102819,14
102821,3
102822,6
102823,6
102824,10
102825,10
102826,35
102827,10
102828,8
102829,3
102830,3
102833,8
102835,7
102836,3
102837,8
102838,9
102839,1
102840,9
102841,2
102842,5
102844,8
102845,11
102846,6
102847,2
102850,8
102851,14
102852,4
102853,10
102854,2
102855,9
102856,5
102857,5
102858,2
102860,14
102861,7
102862,3
102863,9
102864,5
102866,4
102868,8
102869,10
102871,11
102872,5
102873,17
102874,8
102876,4
102877,13
102879,3
102882,12
102883,11
102885,9
102886,24
102887,10
102889,4
102891,29
102892,3
102893,2
102894,13
102895,6
102898,8
102900,11
102901,3
102902,7
102903,17
102904,26
102905,7
102906,10
102907,10
102908,5
102909,18
102911,12
102912,12
102913,10
102914,10
102915,24
102916,13
102917,10
102918,5
102921,10
102923,9
102924,10
102926,3
102927,6
102928,6
102929,9
102930,17
102931,5
102932,10
102934,17
102935,3
102936,4
102937,14
102938,14
102939,85
102940,20
102941,14
102944,12
102945,10
102946,10
102947,6
102949,9
102950,15
102951,4
102953,9
102954,20
102955,12
102957,17
102958,6
102960,8
102961,5
102962,2
102964,3
102966,7
102967,9
102968,10
102969,15
102970,15
102972,12
102974,13
102975,10
102976,4
102978,5
102979,9
10298,2
102980,6
102981,10
102982,18
102983,11
102984,16
102987,11
102991,8
102992,5
102993,11
102997,10
102999,5
103000,9
103001,10
103002,9
103004,9
103006,4
103007,17
103008,10
103009,3
103010,5
103013,8
103014,4
103015,4
103016,6
103017,17
103018,7
103020,19
103021,11
103022,17
103023,3
103024,8
103025,11
103027,6
103028,3
103029,3
103030,10
103031,22
103032,85
103033,2
103034,6
103035,3
103037,9
103038,6
103039,10
103042,84
103043,7
103044,6
103045,14
103046,5
103048,5
103049,31
10305,1
103050,2
103052,86
103053,9
103054,7
103055,3
103056,28
103057,6
103060,2
103062,2
103063,11
103064,10
103065,7
103066,7
103067,16
103068,4
103070,9
103071,22
103072,7
103073,5
103074,8
103075,10
103076,13
103077,4
103078,7
103080,13
103081,11
103083,2
103084,5
103086,7
103088,11
103089,14
103091,10
103094,13
103095,13
103099,2
103100,17
103103,2
103104,36
103105,10
103107,8
103109,11
103110,10
103111,13
103112,4
103115,6
103116,3
103117,23
103119,14
103120,8
103121,13
103122,6
103123,3
103124,7
103126,26
103127,11
103128,2
103129,26
103130,5
103131,1
103132,6
103133,19
103134,5
103135,8
103136,6
103137,4
103138,11
103139,14
10314,1
103140,6
103141,9
103142,12
103145,10
103146,6
103147,5
103148,29
103149,5
10315,1
103150,5
103152,1
103153,8
103154,7
103155,9
103156,4
103157,3
103159,10
10316,1
103161,23
103164,2
103166,2
103167,1
103168,7
103169,13
103170,6
103172,8
103173,2
103174,5
103176,5
103178,4
103179,27
103183,21
103184,12
103185,4
103186,10
103187,19
103188,15
103189,3
103190,11
103191,10
103192,10
103193,6
103194,2
103195,7
103196,7
103197,10
103198,5
103200,5
103202,18
103203,7
103204,9
103205,10
103206,4
103207,6
103209,4
103210,4
103212,8
103213,3
103216,6
103218,89
103219,9
103220,8
103221,5
103222,10
103223,8
103224,3
103225,14
103226,11
103228,10
103231,10
103233,5
103234,13
103235,3
103236,15
103238,6
103239,7
103240,10
103241,11
103243,13
103245,14
103247,10
103249,19
103250,10
103251,8
103252,2
103253,5
103254,7
103255,14
103256,26
103257,5
103259,7
103261,11
103262,15
103264,8
103265,5
103267,10
103269,4
103270,89
103271,92
103272,1
103274,8
103275,5
103276,4
103277,73
103279,13
103280,11
103281,5
103282,9
103283,15
103284,3
103286,2
103288,6
103289,6
103291,17
103292,8
103293,9
103294,3
103295,7
103296,17
103297,10
103298,24
103299,12
103300,3
103301,2
103302,5
103303,12
103304,11
103305,73
103306,2
103307,4
103308,6
103310,3
103311,3
103312,20
103313,4
103314,15
103315,5
103317,2
10332,5
103322,7
103324,6
103325,7
103326,14
103327,1
103328,5
103329,3
10333,7
103330,8
103334,3
103335,7
103336,5
103337,15
103339,4
103340,3
103341,11
103342,5
103343,10
103344,1
103347,14
103349,8
103350,5
103351,3
103353,7
103355,5
103357,10
103358,6
103359,84
103360,15
103361,8
103363,8
103365,9
103367,8
103368,9
103369,8
103370,12
103371,32
103372,11
103373,7
103374,12
103375,8
103377,1
103378,11
103380,9
103381,10
103382,6
103386,7
103387,7
103389,5
103390,7
103391,10
103392,3
103393,13
103395,6
103396,3
103397,5
103399,1
103400,17
103401,4
103402,10
103403,4
103404,6
103405,1
103406,12
103411,11
103412,30
103414,5
103415,11
103416,4
103417,14
103418,5
103419,6
103420,12
103421,12
103423,3
103424,2
103425,6
103426,8
103428,5
103429,10
103430,27
103432,3
103433,3
103435,10
103437,3
103438,2
103440,5
103442,5
103443,8
103444,9
103445,4
103446,11
103447,7
103449,8
103450,8
103452,11
103453,4
103454,10
103455,5
103458,3
103459,8
103460,7
103461,10
103463,7
103464,4
103465,11
103466,10
103467,7
103468,4
103469,14
103471,5
103472,10
103473,8
103474,10
103475,14
103476,20
103477,8
103478,2
103479,18
103480,4
103481,8
103483,84
103484,9
103485,13
103486,10
103487,7
103488,9
103489,3
103490,1
103491,16
103492,12
103494,4
103496,9
103498,1
103499,2
103500,2
103501,2
103503,8
103504,12
103505,2
103508,11
103509,7
103510,9
103511,5
103513,14
103514,3
103515,9
103517,18
103518,10
103519,20
103521,3
103522,6
103523,6
103524,9
103526,10
103527,6
103528,3
103529,9
103531,3
103533,4
103536,3
103537,10
103538,13
103539,4
103540,4
103541,6
103542,7
103543,11
103544,6
103545,4
103547,16
103548,8
103549,5
103550,5
103551,8
103552,10
103553,32
103554,4
