_id,Binary_Operations,Blocks,Bytes,Placeholder_statements,Constant_values,Hexadecimal_addresses
100109,164,106,44,0,0,12
10011,12,9,0,0,0,1
100110,32,11,0,0,0,0
100111,87,52,0,0,10,0
100112,125,68,22,0,0,2
100115,154,53,1,0,0,4
100117,120,85,14,0,0,2
100118,46,32,3,0,0,2
100119,58,19,2,0,0,2
10012,34,27,2,0,0,0
100120,56,23,20,0,0,0
100121,11,13,8,0,0,0
100122,55,16,0,0,0,5
100123,167,88,14,0,0,12
100124,20,19,3,0,5,0
100125,56,15,1,0,0,3
100126,155,88,16,0,0,11
100127,375,199,68,0,0,36
100128,56,18,0,0,0,0
100129,18,12,0,0,0,0
10013,0,1,0,0,0,0
100132,88,55,5,0,0,4
100133,79,49,3,0,0,2
100135,25,38,19,0,0,2
100136,302,58,24,0,0,3
100137,86,54,5,0,0,4
100138,72,58,5,0,0,5
100139,115,70,5,0,0,2
10014,139,61,2,0,11,5
100141,20,19,3,0,5,0
100142,96,39,0,0,0,0
100143,27,15,0,0,0,0
100144,73,44,33,0,0,3
100145,83,39,2,0,0,0
100146,194,109,70,0,0,6
100148,264,121,22,0,0,8
100149,64,48,14,0,0,2
10015,9,8,0,0,0,0
100150,289,164,75,0,0,39
100152,53,11,0,0,0,0
100153,20,19,3,0,5,0
100154,20,19,3,0,5,0
100157,92,58,5,0,0,4
100158,40,18,2,0,6,2
10016,3,2,2,0,0,0
100163,189,81,16,0,0,15
100164,147,87,70,0,0,6
100165,59,30,1,0,0,0
100166,66,19,6,0,0,5
100169,191,110,14,0,0,0
10017,13,14,1,0,0,0
100170,68,19,13,0,0,1
100171,77,60,19,0,0,7
100173,25,15,7,0,0,1
100175,50,34,32,0,0,2
100176,253,128,37,0,0,55
100177,131,49,0,0,0,6
100179,135,92,37,0,0,3
10018,13,15,1,0,1,0
100180,27,10,3,0,4,1
100184,317,160,5,0,0,3
100186,36,5,33,0,0,4
100187,31,5,17,0,0,4
100188,66,41,26,0,0,7
100192,155,89,5,0,0,2
100193,32,13,2,0,6,2
100194,73,20,0,0,0,2
100196,30,11,0,0,0,2
100197,87,52,0,0,10,0
100198,66,20,2,0,0,0
100199,84,87,29,0,0,0
10020,7,6,1,0,0,2
100200,73,44,4,0,0,15
100201,32,13,2,0,6,2
100202,55,41,14,0,0,2
100203,18,12,0,0,0,0
100204,40,18,2,0,6,2
100206,105,151,37,0,0,1
100207,90,55,0,0,0,0
100209,74,56,51,0,0,5
10021,3,2,2,0,0,0
100210,25,38,19,0,0,2
100211,50,19,3,0,0,0
100212,20,19,3,0,5,0
100213,45,26,0,0,0,1
100214,1409,531,44,0,0,161
100215,1265,514,25,0,0,230
100216,26,6,0,0,0,0
100218,50,33,3,0,0,2
100219,68,19,0,0,0,1
10022,12,9,0,0,0,1
100220,72,53,16,0,0,2
100222,273,163,6,0,0,2
100226,161,106,44,0,0,12
100227,169,92,1,0,0,1
100228,201,100,5,0,0,13
100229,59,21,2,0,0,2
10023,7,2,2,0,0,3
100230,277,88,6,0,0,4
100232,116,52,54,0,0,2
100233,133,34,1,0,0,0
100234,288,132,21,0,0,21
100235,39,24,0,0,0,0
100238,192,124,37,0,0,2
100239,87,52,0,0,10,0
10024,3,2,2,0,0,0
100240,70,43,2,0,0,0
100241,1019,417,21,0,0,204
100242,49,36,1,0,0,0
100245,18,12,0,0,0,0
100246,68,41,4,0,0,2
100248,1263,244,15,0,0,196
100249,93,51,0,0,0,0
10025,12,9,0,0,0,0
100250,130,69,5,0,0,3
100251,90,56,5,0,0,4
100252,87,52,0,0,10,0
100254,52,36,0,0,0,1
100256,134,82,16,0,0,2
100257,51,38,9,0,0,2
100258,98,31,14,0,0,5
10026,3,1,1,0,0,2
100261,15,25,12,0,0,3
100262,9,8,0,0,0,2
100263,426,159,0,0,10,2
100264,181,119,62,0,0,0
100265,40,18,2,0,6,2
100266,476,67,48,0,0,33
100268,103,66,22,0,0,1
100269,65,39,4,0,0,2
10027,2,5,0,0,1,0
100270,101,38,8,0,0,0
100271,187,125,35,0,0,0
100272,84,54,5,0,0,2
100273,466,184,7,0,0,0
100274,60,23,0,0,4,0
100275,185,90,4,0,0,0
100276,125,69,22,0,0,2
100277,18,7,3,0,4,0
100278,2,2,0,0,0,1
100279,65,36,4,0,0,2
10028,12,9,0,0,0,0
100280,40,18,2,0,6,2
100283,46,24,1,0,0,1
100284,33,11,0,0,0,2
100285,9,4,1,0,0,0
100286,153,70,5,0,0,2
100287,78,54,16,0,0,2
100288,26,39,15,0,0,2
100289,77,39,0,0,0,2
100290,1409,531,44,0,0,161
100291,28,52,49,0,0,3
100292,18,12,0,0,0,0
100293,104,27,0,0,0,0
100295,37,13,1,0,0,0
100296,130,84,6,0,0,2
100297,75,48,20,0,0,5
100298,62,37,4,0,0,2
100299,49,32,11,0,0,1
100301,216,166,211,0,0,4
100303,69,31,11,0,0,0
100305,22,25,0,0,0,2
100307,754,81,0,0,0,186
100308,207,151,107,0,0,8
10031,12,14,1,0,0,0
100310,52,21,0,0,0,1
100311,72,22,1,0,0,1
100312,89,55,5,0,0,4
100314,79,59,62,0,0,4
100315,81,52,5,0,0,4
100316,40,13,0,0,0,0
100317,10,21,1,0,0,0
100319,68,49,14,0,0,0
10032,426,165,20,0,3,2
100320,143,86,14,0,0,2
100321,53,41,1,0,0,0
100322,77,53,4,0,0,4
100323,0,1,2,0,0,0
100325,303,233,22,0,0,6
100326,117,97,29,0,0,2
100328,37,16,3,0,0,4
10033,7,6,1,0,0,2
100330,68,56,14,0,0,2
100331,72,52,24,0,0,4
100332,84,98,31,0,0,1
100333,89,40,4,0,0,10
100335,7,10,6,0,2,6
100336,330,96,2,0,0,0
100337,28,21,1,0,0,0
100339,56,42,1,0,0,0
10034,15,7,0,0,0,0
100340,4,14,6,0,6,6
100341,34,9,9,0,0,6
100342,93,51,0,0,0,0
100343,304,224,3,0,0,0
100345,79,40,4,0,0,2
100348,127,71,5,0,0,2
100349,47,17,0,0,0,5
10035,7,6,1,0,0,2
100351,55,41,14,0,0,2
100352,122,68,5,0,0,7
100353,202,90,0,0,0,0
100355,53,32,0,0,0,1
100357,75,47,14,0,0,2
100359,84,65,14,0,0,2
10036,7,6,1,0,0,2
100360,140,37,0,0,0,0
100361,85,50,26,0,0,2
100362,45,10,6,0,0,2
100363,63,38,4,0,0,2
100365,79,99,35,0,0,3
100366,154,30,0,0,0,5
100367,140,86,14,0,0,2
100368,76,49,18,0,0,2
100369,50,29,0,0,0,1
10037,13,10,0,0,0,0
100370,58,46,0,0,0,0
100371,67,49,17,0,0,2
100372,50,29,0,0,0,1
100373,74,54,16,0,0,2
100375,81,31,16,0,0,5
100376,177,43,13,0,0,1
100377,53,29,7,0,0,0
100378,66,37,4,0,0,3
10038,15,7,0,0,0,0
100381,58,41,14,0,0,2
100382,87,29,6,0,0,4
100383,53,20,2,0,6,0
100384,189,80,16,0,0,15
100385,1183,503,23,0,0,221
100387,58,45,1,0,0,0
100389,1,4,0,0,0,1
10039,32,27,2,0,0,0
100390,6,3,0,0,0,2
100391,56,39,9,0,0,0
100392,58,36,3,0,0,12
100393,145,39,8,0,0,4
100394,31,24,1,0,0,0
100395,7,38,44,0,0,0
100396,194,129,37,0,0,2
100397,315,99,12,0,0,4
100398,108,74,5,0,0,2
100399,92,41,4,0,0,12
10040,7,6,1,0,0,2
100400,17,22,11,0,0,2
100401,128,32,0,0,0,0
100403,348,155,44,0,0,12
100404,46,28,15,0,0,5
100405,45,18,0,0,0,0
100406,81,62,5,0,0,2
100407,139,31,1,0,0,1
100409,107,35,39,0,0,0
10041,6,8,1,0,1,0
100410,112,61,14,0,0,7
100414,135,93,36,0,0,6
100415,78,54,16,0,0,2
100418,114,67,5,0,0,8
100419,180,461,562,0,0,25
10042,80,33,11,0,0,1
100420,28,15,0,0,0,1
100421,64,48,14,0,0,2
100422,23,25,1,0,0,0
100423,214,139,55,0,0,24
100425,115,41,0,0,0,0
100426,102,31,4,0,0,3
100427,52,35,1,0,0,2
100429,159,49,0,0,0,1
10043,9,8,0,0,0,0
100430,122,68,5,0,0,7
100432,56,24,0,0,9,0
100433,93,37,0,0,0,1
100434,185,124,37,0,0,2
100435,50,33,3,0,0,2
100437,13,7,0,0,0,0
100438,117,100,29,0,0,2
100439,62,36,4,0,0,2
10044,13,15,1,0,1,0
100440,124,83,6,0,0,2
100441,85,70,5,0,0,5
100442,88,29,2,0,0,3
100443,74,53,16,0,0,2
100444,38,28,1,0,0,0
100446,127,116,54,0,0,3
100447,118,77,1,0,0,1
100448,131,95,116,0,0,5
100449,168,87,14,0,0,11
10045,15,7,0,0,0,0
100451,81,58,14,0,0,1
100452,117,61,5,0,0,4
100454,154,70,14,0,0,8
100455,93,37,0,0,0,3
100457,44,33,1,0,0,0
100459,365,166,42,0,0,12
10046,12,8,0,0,0,0
100460,46,33,3,0,0,2
100461,62,36,4,0,0,2
100462,64,55,12,0,0,0
100463,138,74,29,0,0,2
100465,30,17,0,0,0,5
100466,181,80,15,0,0,2
100467,31,11,0,0,0,0
100468,138,56,12,0,0,0
100469,102,73,23,0,0,6
10047,18,15,1,0,2,0
100470,5,3,0,0,0,0
100472,9,16,13,0,0,92
100473,20,19,3,0,5,0
100475,108,33,0,0,0,3
100476,84,53,5,0,0,4
100477,242,88,19,0,0,2
100479,59,49,12,0,0,0
10048,18,9,0,0,0,0
100480,120,56,11,0,0,0
100481,62,36,4,0,0,2
100482,60,32,0,0,0,0
100483,51,23,4,0,0,8
100484,149,86,5,0,0,2
100485,26,22,0,0,0,2
100486,58,37,0,0,0,2
100487,117,55,5,0,0,2
100488,148,69,14,0,0,4
100490,80,68,52,0,0,21
100491,7,5,6,0,0,1
100492,235,90,0,0,0,3
100496,7,2,0,0,0,0
100497,121,43,0,0,0,2
100498,324,99,13,0,0,4
100499,58,34,0,0,0,0
10050,20,8,1,0,0,3
100500,32,13,2,0,6,2
100502,0,2,3,0,1,3
100503,90,75,0,0,0,0
100505,56,9,0,0,0,7
100509,23,34,14,0,0,2
10051,11,4,2,0,0,1
100510,1,3,0,0,0,2
100511,18,7,3,0,4,0
100513,228,174,82,0,0,18
100514,60,22,1,0,0,0
100515,30,20,0,0,5,0
100517,1201,452,47,0,0,152
100518,31,17,4,0,0,2
10052,3,2,2,0,0,0
100520,430,149,57,0,0,3
100523,130,47,10,0,0,4
100524,46,18,3,0,0,0
100525,50,29,0,0,0,1
100527,466,184,7,0,0,0
100528,186,121,37,0,0,2
100529,62,36,4,0,0,2
10053,12,9,0,0,0,0
100531,56,23,20,0,0,0
100534,48,43,5,0,0,2
100535,69,25,1,0,0,2
100536,280,110,14,0,0,37
100537,51,27,3,0,3,0
100539,58,37,0,0,0,2
10054,34,16,0,0,1,2
100540,93,60,5,0,0,4
100543,121,90,14,0,0,6
100544,79,57,3,0,0,5
100545,95,54,0,0,0,0
100546,58,40,1,0,0,3
100547,24,5,11,0,0,2
100548,62,45,14,0,0,2
100551,85,40,4,0,0,8
100552,47,26,2,0,0,0
100553,133,34,1,0,0,0
100554,21,11,8,0,0,2
100555,123,64,5,0,0,4
100556,186,44,24,0,0,1
100557,67,29,10,0,0,5
100558,134,45,0,0,0,0
100559,95,65,16,0,0,4
10056,2,5,0,0,0,0
100560,79,32,0,0,0,10
100561,70,40,49,0,0,1
100562,75,41,1,0,0,0
100563,51,26,1,0,0,1
100564,103,89,28,0,0,8
100565,131,45,0,0,0,0
100566,88,55,5,0,0,4
100567,219,125,58,0,0,2
100568,249,183,151,0,0,21
10057,9,8,0,0,0,0
100570,145,59,3,0,0,7
100571,63,67,36,0,0,3
100573,100,26,0,0,4,3
100574,6,2,0,0,0,2
100575,88,42,21,0,0,3
100576,70,59,5,0,0,0
100577,41,17,2,0,0,1
100578,209,140,97,0,0,14
10058,38,25,1,0,3,3
100580,110,75,3,0,0,2
100581,126,57,4,0,0,2
100582,43,34,1,0,0,0
100583,95,57,5,0,0,4
100584,40,18,2,0,6,2
100585,102,60,10,0,0,2
100586,37,11,0,0,0,0
100588,68,19,0,0,0,1
10059,2,2,0,0,0,0
100592,103,19,5,0,0,0
100593,60,35,0,0,0,3
100594,81,93,48,0,0,1
100595,33,23,1,0,0,0
100596,318,213,61,0,0,35
100597,63,40,49,0,0,3
100598,0,1,0,0,0,2
10060,9,8,0,0,0,0
100600,73,31,0,0,0,0
100601,79,40,13,0,0,2
100602,153,55,0,0,0,0
100603,155,89,17,0,0,2
100604,145,96,37,0,0,2
100605,83,42,4,0,0,8
100606,94,49,13,0,0,9
100607,70,50,14,0,0,0
100608,66,84,26,0,0,1
100609,0,2,3,0,1,3
100610,23,11,9,0,0,5
100611,52,29,0,0,0,2
100613,66,29,4,0,6,0
100614,166,94,29,0,0,0
100616,107,79,16,0,0,2
100618,68,52,7,0,0,13
100619,54,35,33,0,0,2
10062,9,8,0,0,0,0
100620,113,80,16,0,0,2
100621,40,18,2,0,6,2
100623,207,76,4,0,0,2
100625,40,18,2,0,6,2
100626,247,122,51,0,0,4
100627,65,39,4,0,0,5
100628,286,131,27,0,0,2
10063,18,9,0,0,0,0
100630,222,123,5,0,0,4
100631,51,26,1,0,0,1
100632,34,8,0,0,0,1
100633,125,30,0,0,0,0
100634,60,46,0,0,0,0
100637,40,18,2,0,6,2
100640,58,34,0,0,0,0
100641,53,41,1,0,0,0
100642,127,17,9,0,0,0
100643,274,123,13,0,0,19
100645,162,66,16,0,0,16
100646,401,173,24,0,0,36
100647,11,12,6,0,4,6
100648,166,89,7,0,0,9
100649,81,52,5,0,0,4
10065,15,7,0,0,0,0
100651,72,53,16,0,0,2
100652,80,23,12,0,0,0
100653,91,61,5,0,0,4
100654,52,29,0,0,0,2
100656,122,16,8,0,0,0
100657,62,46,14,0,0,2
100658,81,31,4,0,0,5
100659,125,59,9,0,0,0
10066,7,6,1,0,0,2
100660,52,41,12,0,0,0
100661,37,33,7,0,0,0
100662,268,151,22,0,0,9
100663,17,5,7,0,0,4
100664,126,100,29,0,0,2
100665,90,56,5,0,0,4
100668,267,53,23,0,0,3
100669,103,29,2,0,0,2
10067,3,2,2,0,0,0
100671,47,18,0,0,6,2
100672,34,9,2,0,0,1
100673,87,52,0,0,10,0
100674,40,18,2,0,6,2
100675,72,58,5,0,0,5
100676,113,80,16,0,0,2
100677,125,68,22,0,0,2
100678,108,73,22,0,0,9
10068,7,6,1,0,0,2
100682,209,87,14,0,9,4
100683,62,36,4,0,0,2
100684,43,44,24,0,0,6
100685,2,2,0,0,0,0
100686,107,79,16,0,0,2
100687,92,59,5,0,0,5
100688,39,24,0,0,0,0
10069,117,39,4,0,3,0
100690,110,74,21,0,0,0
100691,41,24,0,0,0,1
100692,1,9,0,0,0,2
100693,71,35,17,0,0,1
100695,134,50,2,0,0,0
100696,60,47,3,0,0,2
100697,62,37,4,0,0,2
100698,66,46,1,0,0,0
100699,139,43,0,0,0,1
10070,7,6,1,0,0,2
100701,194,109,70,0,0,6
100702,1273,245,13,0,0,198
100703,79,40,13,0,0,2
100707,344,53,0,0,0,1
100708,1168,492,23,0,0,220
10071,7,6,1,0,0,2
100710,74,61,0,0,0,2
100711,223,112,103,0,0,6
100713,63,25,20,0,0,0
100714,88,71,0,0,0,0
100716,87,52,0,0,10,0
100717,235,130,20,0,0,2
100718,12,19,0,0,0,0
100719,92,17,0,0,0,1
10072,5,2,2,0,0,0
100720,59,43,14,0,0,2
100721,103,29,2,0,0,2
100723,176,55,1,0,0,3
100724,41,17,2,0,0,1
100725,52,29,0,0,0,2
100726,39,24,0,0,0,0
100728,73,113,3,0,0,2
100729,75,44,4,0,0,2
10073,39,13,1,0,4,1
100730,9,9,4,0,0,0
100731,157,171,132,0,0,11
100733,89,59,35,0,0,5
100735,210,140,63,0,0,13
100736,20,19,3,0,5,0
100738,58,34,0,0,0,0
100739,202,139,35,0,0,14
10074,15,7,0,0,0,0
100740,98,59,5,0,0,4
100741,200,48,2,0,0,5
100743,94,47,0,0,0,0
100744,168,62,18,0,0,28
100745,17,5,18,0,0,2
100749,54,24,1,0,0,1
10075,2,2,1,0,0,1
100751,254,118,8,0,0,0
100752,44,18,0,0,0,5
100753,61,38,0,0,0,2
100754,61,46,12,0,0,0
100755,68,41,4,0,0,2
100756,56,32,0,0,0,3
100757,69,31,11,0,0,0
100759,37,7,0,0,1,0
10076,0,2,0,0,0,1
100760,30,21,1,0,0,0
100762,76,90,50,0,0,3
100763,37,18,0,0,0,0
100765,123,64,5,0,0,4
100766,71,28,0,0,0,0
100767,52,14,0,0,0,2
100768,32,15,1,0,0,1
10077,7,6,1,0,0,2
100770,75,32,0,0,0,0
100771,53,11,0,0,0,0
100772,72,39,1,0,0,0
100773,125,30,0,0,0,0
100774,88,55,5,0,0,4
100775,135,50,0,0,6,1
100776,49,18,2,0,0,0
100778,51,26,1,0,0,1
100779,96,58,5,0,0,2
100780,255,88,3,0,0,2
100781,89,78,16,0,0,6
100782,152,70,14,0,0,8
100784,117,61,5,0,0,4
100785,78,44,4,0,0,2
100786,58,41,14,0,0,3
100787,119,31,0,0,0,1
100788,1244,120,47,0,0,367
100789,42,13,0,0,0,0
100790,925,406,19,0,0,192
100791,89,31,10,0,0,10
100792,40,18,2,0,6,2
100793,22,5,0,0,0,3
100794,18,30,5,0,0,1
100795,20,19,3,0,5,0
100798,36,30,0,0,0,0
100799,145,94,37,0,0,2
100801,78,30,2,0,0,5
100802,201,111,60,0,0,14
100803,1,1,0,0,0,1
100804,98,25,14,0,0,3
100806,8,9,0,0,0,0
100807,18,11,1,0,0,0
100808,34,25,0,0,0,0
100809,9,18,0,0,0,0
10081,7,9,0,0,0,0
100810,79,84,27,0,0,0
100811,127,65,11,0,0,0
100815,18,12,0,0,0,0
100817,193,126,37,0,0,2
100818,62,46,14,0,0,2
100819,46,38,12,0,0,2
10082,13,30,18,0,0,0
100820,243,42,0,0,0,2
100821,1,4,0,0,0,1
100822,8,3,0,0,0,6
100823,32,12,0,0,0,1
100824,96,58,28,0,0,2
100825,37,7,0,0,1,0
100826,49,34,1,0,0,0
100827,182,115,78,0,0,5
100829,90,29,6,0,0,7
100830,1,1,0,0,0,1
100831,109,97,12,0,0,0
100832,466,184,7,0,0,0
100833,116,42,18,0,0,0
100834,46,38,1,0,0,1
100835,102,49,4,0,0,0
100836,31,20,3,0,5,0
100837,138,30,3,0,0,17
100838,132,78,18,0,0,8
100839,68,41,4,0,0,2
100840,279,154,32,0,0,37
100841,185,48,0,0,0,2
100842,194,46,15,0,0,3
100843,54,26,0,0,0,0
100844,66,27,14,0,0,4
100845,0,2,4,0,0,0
100846,114,161,36,0,0,1
100848,144,60,26,0,0,6
100849,68,41,4,0,0,2
100850,65,39,4,0,0,2
100851,81,52,5,0,0,4
100852,62,46,14,0,0,2
100853,113,59,5,0,0,3
100854,114,93,18,0,0,1
100856,168,41,22,0,0,1
100857,113,66,16,0,0,2
100858,369,189,67,0,0,7
100860,698,82,1,0,0,186
100861,55,41,14,0,0,3
100862,91,42,5,0,0,7
100864,40,5,11,0,0,2
100865,85,54,5,0,0,5
100867,173,106,27,0,0,15
100869,9,4,0,0,0,1
100870,267,53,23,0,0,3
100871,24,35,20,0,0,3
100872,85,63,5,0,0,2
100873,207,71,30,0,0,1
100875,48,34,4,0,0,3
100876,287,216,6,0,0,2
100878,27,9,0,0,0,0
100879,54,26,0,0,0,0
100880,71,45,5,0,0,5
100881,7,4,3,0,0,0
100883,62,36,4,0,0,2
100884,26,12,0,0,0,1
100886,70,35,9,0,0,3
100887,36,9,0,0,0,2
100888,53,11,0,0,0,0
100889,134,45,0,0,0,0
100890,61,49,12,0,0,0
100891,52,41,12,0,0,1
100892,84,50,5,0,0,4
100893,50,18,0,0,0,2
100896,144,92,32,0,0,17
100897,1244,120,47,0,0,367
100898,324,124,0,0,0,15
100899,67,45,5,0,0,2
100900,117,61,5,0,0,4
100901,106,71,26,0,0,10
100902,26,24,13,0,0,2
100904,292,126,1,0,0,0
100906,1409,531,44,0,0,161
100907,68,41,4,0,0,2
100908,93,51,0,0,0,0
100909,297,155,60,0,0,5
100910,63,33,7,0,0,1
100913,52,24,10,0,0,6
100914,51,36,14,0,0,0
100915,40,18,2,0,6,2
100916,26,9,8,0,0,3
100917,105,46,30,0,0,1
100920,142,80,27,0,0,0
100921,57,41,14,0,0,2
100922,267,53,23,0,0,3
100925,131,34,1,0,0,0
100926,18,12,0,0,0,0
100927,7,3,2,0,0,1
100928,207,105,82,0,0,2
100929,79,49,15,0,0,3
100930,44,23,3,0,5,0
100932,44,17,0,0,0,0
100933,14,1,1,0,0,8
100934,38,21,0,0,8,0
100935,68,41,4,0,0,2
100936,40,18,2,0,6,2
100937,0,2,3,0,1,3
100938,53,40,0,0,0,1
100939,77,43,2,0,0,0
100940,113,43,0,0,0,1
100941,39,24,0,0,0,0
100942,92,59,5,0,0,5
100943,100,40,0,0,0,9
100945,36,20,4,0,0,8
100946,30,26,1,0,0,0
100947,67,35,0,0,0,0
100948,124,102,83,0,0,5
100949,67,24,15,1,0,0
100950,103,83,5,0,0,3
100951,181,83,12,0,0,1
100952,69,38,4,0,0,2
100954,94,62,12,0,0,0
100955,148,64,4,0,0,2
100956,174,74,5,0,0,3
100957,338,103,15,0,0,4
100960,18,12,0,0,0,0
100961,90,56,5,0,0,4
100962,12,3,0,0,0,3
100963,97,31,11,0,0,1
100964,212,37,0,0,0,3
100965,70,32,0,0,0,0
100966,85,111,67,0,0,11
100967,67,35,0,0,0,0
100968,169,87,22,0,0,2
100969,136,50,0,0,6,0
100970,67,50,12,0,0,0
100971,14,21,53,0,0,3
100973,31,11,0,0,0,0
100974,79,36,3,0,7,0
100975,46,26,6,0,0,5
100976,153,83,11,0,0,12
100978,48,23,0,0,0,9
100979,76,42,4,0,0,3
100980,70,53,14,0,0,6
100982,82,79,1,0,0,0
100984,85,54,3,0,0,2
100985,1205,452,47,0,0,152
100986,118,89,17,0,0,11
100987,107,79,16,0,0,2
100988,65,49,21,0,0,2
100989,68,41,4,0,0,2
10099,13,6,0,0,0,0
100990,63,81,91,0,0,5
100992,40,18,2,0,6,2
100994,731,390,198,0,0,17
100995,2,2,0,0,0,0
100996,271,202,0,0,0,0
100998,365,263,169,0,0,24
101000,36,22,1,0,0,2
101001,33,11,0,0,0,0
101002,115,47,0,0,0,9
101003,40,18,2,0,6,2
101004,143,97,26,0,0,1
101006,44,31,3,0,0,2
101007,87,52,0,0,10,0
101008,313,161,5,0,0,3
101010,10,7,0,0,0,0
101011,73,31,0,0,0,0
101012,34,15,1,0,0,6
101014,373,151,12,0,0,9
101017,72,53,16,0,0,2
101018,60,47,0,0,0,0
101019,20,19,3,0,5,0
101021,87,52,0,0,10,0
101022,74,53,24,0,0,0
101023,62,46,14,0,0,2
101024,7,9,0,0,0,0
101025,232,148,62,0,0,21
101027,51,31,0,0,0,0
101028,50,18,0,0,0,0
101029,60,39,1,0,0,7
101030,142,125,77,0,0,8
101031,62,46,14,0,0,2
101033,63,47,13,0,0,0
101034,58,35,24,0,0,4
101036,81,36,16,0,0,5
101038,162,44,31,0,0,25
101039,195,105,1,0,0,1
101040,179,88,8,0,0,10
101041,184,103,34,0,0,2
101044,40,18,2,0,6,2
101045,116,20,0,0,0,0
101046,275,169,6,0,0,3
101047,0,2,3,0,1,3
101049,0,1,0,0,0,4
101050,139,48,38,0,0,3
101051,64,80,36,0,0,3
101052,81,58,14,0,0,1
101053,1224,509,25,0,0,226
101055,74,32,2,0,0,1
101057,216,166,211,0,0,4
101058,224,345,79,0,0,1
10106,52,14,4,0,0,0
101060,31,24,41,0,0,0
101061,100,36,0,0,1,2
101063,32,12,0,0,0,1
101064,195,47,24,0,0,1
101065,77,52,0,0,12,0
101066,28,20,38,0,0,4
101072,191,84,14,0,0,4
101073,106,120,44,0,0,1
101074,58,19,2,0,0,2
101075,71,87,50,0,0,3
101076,61,36,4,0,0,2
101077,257,166,21,0,0,2
101078,65,45,18,0,0,1
101081,1190,503,23,0,0,221
101083,22,5,0,0,0,3
101086,50,40,1,0,0,1
101088,35,14,0,0,8,0
101089,128,36,18,0,0,6
101091,81,52,5,0,0,4
101094,466,184,7,0,0,0
101095,110,68,0,0,10,0
101096,95,54,0,0,0,0
101097,62,36,4,0,0,2
101098,227,113,54,0,0,9
101099,43,16,0,0,0,0
101101,98,25,14,0,0,3
101104,34,9,2,0,0,1
101105,7,5,0,0,0,1
101108,59,41,14,0,0,2
101109,48,33,13,0,0,2
101110,13,3,0,0,0,0
101111,183,79,5,0,0,5
101112,231,105,28,0,0,3
101113,81,29,2,0,0,1
101114,60,40,19,0,0,2
101115,92,52,15,0,0,8
101117,90,61,8,0,0,7
101118,230,146,7,0,0,14
101119,267,151,22,0,0,8
101120,59,27,18,0,4,0
101121,303,129,25,0,0,6
101122,296,181,85,0,0,5
101124,35,27,0,0,0,2
101125,229,113,70,0,0,6
101126,264,104,9,0,0,0
101127,115,41,0,0,0,0
101128,122,77,8,0,0,70
101129,78,54,16,0,0,2
10113,18,9,0,0,0,0
101130,24,28,21,0,0,4
101131,40,18,2,0,6,2
101132,145,79,20,0,0,0
101134,105,56,3,0,0,5
