ID,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,Error_Label
111565,-0.5973,0.6277,-2.1548,-1.7397,-1.0149,-1.3064,1.8304,-0.4345,-0.7732,1.0053,-0.4913,0.8889,0.1365,1.3065,-0.7866,0.7424,0.5557,-1.1558,-1.4929,-0.2647,0.2788,0.0895,0.2439,-0.8341,-0.8357,1.2849,-0.8884,-0.5097,1.2628,0.2284,1.5218,1.6259,0.4523,-0.6583,-0.749,0.4462,-0.4654,1.4172,0.9568,-1.8066,-0.8358,2.2753,-0.4456,-0.2181,-0.0035,0.1429,-0.3747,-0.4029,-0.2755,0.0447,-0.218,-1.199,-1.2373,-0.5097,1.8064,-0.7339,-0.3523,0.3129,-0.1561,-1.3205,1.4031,-0.7787,-0.8036,1.3187,-1.4281,-0.8532,0.3635,0.2262,-1.8985,-1.873,-1.0415,0.0257,-0.149,0.0294,-1.2179,-1.8505,-0.2906,0.8433,-1.1687,-0.6625,0.404,-0.3275,-1.9721,1.2118,0.014,1.4505,-0.1965,-2.3231,1.032,-0.6619,-1.3925,-0.9804,-1.5701,-1.0435,-0.9317,-0.0528,0.8861,1.1033,-1.2825,0.9365,010000000000001000
111566,1.009,-1.5635,-1.0809,0.2544,-0.3807,-0.4156,-0.7717,-0.0402,0.9671,-0.9771,-0.3465,-0.2085,-1.7627,0.0595,0.4313,-1.259,0.4017,0.0966,1.0524,0.7912,0.073,0.5257,-0.3624,-0.7901,-0.0897,-0.3538,-2.4299,-0.0297,1.0537,-0.0916,-0.4359,0.6834,-0.2012,1.2709,-0.8096,0.3962,0.2569,1.4175,0.272,-0.1068,-0.6241,-0.5619,0.2667,-1.1233,1.2436,1.1434,-1.2019,-0.2638,-2.3077,0.0956,-0.8358,-1.5005,0.7841,0.4005,-1.9263,0.382,0.4669,-1.0974,-0.776,-0.7426,0.0764,0.063,0.2102,-0.7783,-1.3305,-0.5952,1.2987,1.5929,-2.0646,-0.5046,-0.6564,-0.6633,-1.0674,-1.3049,1.5851,-1.9037,1.9035,-0.2803,1.1033,-0.8691,-2.8863,-0.0033,-0.0859,-0.7323,0.7977,-2.0267,1.2953,0.0371,0.7452,0.4634,0.8489,-2.7619,-3.124,-0.2118,1.2293,-2.3222,0.0362,0.0151,1.0038,-1.0116,010000000000011000
111567,-1.6705,0.18492,-0.33871999999999997,-1.7335,-1.2582,0.05542999999999999,-0.81253,1.0049,0.022633,0.36761,-0.8002,-0.058743,-0.7739699999999999,-2.4778,-1.5605,0.6913,-1.6452,-1.5296,0.65264,-0.46773000000000003,0.73524,-0.13055,-0.49177,-1.169,-0.37106,0.52566,0.067146,-0.9415100000000001,-0.43498000000000003,0.059517999999999995,0.42461000000000004,-1.2363,2.033,0.93625,0.25782,-0.76071,-1.655,0.67829,-1.222,-0.97408,0.25955,0.38734,0.6409199999999999,0.13097999999999999,-0.59338,0.36198,-0.71699,0.036841000000000006,2.4701,-1.1248,0.046494,-0.10554000000000001,-0.66179,1.5162,1.9123,-2.0042,0.9212899999999999,2.2717,-0.8024,0.10048,0.43816000000000005,0.66902,-1.2265,-1.3952,1.9164,0.9663,-0.30246999999999996,-0.58448,-0.70227,-0.21109,-1.3623,0.001611,0.031415,-1.1385,0.6403800000000001,0.71113,-1.7913,0.41307,-1.2479,-0.99205,0.74139,-1.6411,1.0509,-0.9491299999999999,0.7316699999999999,0.7089,-0.21284,2.2218,-0.0021274,-1.0012,1.0405,-1.0485,-1.4616,-1.6665,0.31544,-0.26805,-1.2849,0.064047,-1.0395,-0.75238,000001000000000000
111568,-0.1006,1.0408,0.7786,-1.3139,0.2418,-0.0475,-1.2256,-0.7471,-0.3793,-0.0805,-0.0441,-1.2924,-0.2968,0.2655,0.0574,-1.658,1.0523,-0.0386,0.6696,0.2822,0.0096,0.9199,0.4835,2.5759,-1.6276,0.8184,-1.4333,1.3065,-0.742,-0.4418,-0.7437,2.0604,0.0836,0.2198,-1.8425,-0.8303,-1.5648,-0.7759,0.3642,-1.1785,-0.5118,1.0264,0.1319,1.1897,2.2117,-1.0525,-0.1976,0.3674,1.0626,-0.4598,-0.3417,-0.2312,-0.9258,-1.4341,3.5208,-1.1674,-0.2336,-0.6548,1.7736,-0.7478,0.5904,0.4098,-1.9005,-1.199,0.6715,-0.7663,0.1847,-1.4859,-0.783,-0.8815,-0.7538,-0.4305,0.8989,-1.6742,-1.2706,0.4808,-2.398,-2.6005,0.1799,0.4218,1.0195,-2.2233,1.5726,-0.5079,-1.978,-0.192,-0.2325,0.0465,1.325,-1.3663,-0.401,-0.27,-1.9881,-2.3836,0.3357,-2.3952,0.5356,-1.9417,-0.504,-1.3657,000000001001010000
111570,-0.6089,-0.2688,-1.4321,-1.2508,-2.2129,-0.7783,0.5565,-0.3138,0.5585,-0.9206,-1.0988,2.2661,-0.9643,0.2348,1.7437,-0.6728,-1.695,-0.6353,-1.5297,0.7414,1.7896,-1.2398,0.726,0.7543,-0.2678,-0.9103,1.1177,0.5956,-1.5535,0.847,-2.0544,0.6004,-0.5186,-0.0475,-1.5238,0.2924,-1.8913,-0.7367,-1.1793,-1.0165,0.023,0.0467,-0.538,-0.4452,-0.7453,-0.8085,-1.1762,-1.2434,0.0901,-1.1837,-1.8312,-1.2988,-1.0088,-2.474,-1.5333,1.2377,1.4209,-1.7321,-1.164,-0.6715,-0.6063,2.1179,-1.7956,0.1846,-2.1484,-0.0378,-0.7453,-0.3106,-0.2143,-2.0445,-0.7703,-1.3008,-0.382,-0.6614,-1.8688,0.0349,-0.5582,1.1482,1.7859,-1.8522,-0.783,1.1077,-1.155,-1.3985,-1.6337,0.09,-0.3296,0.7797,2.8822,-1.5433,-1.2633,-1.0418,-0.4417,-0.0204,-1.3924,-0.8633,-2.4551,-0.7851,-1.2974,-0.0343,000000001001010000
111571,-1.5605,-0.7821,0.5051,2.941,-1.0268,0.1595,-1.5297,2.8069,-1.6423,-0.9216,2.788,-2.1596,0.5789,1.5429,-2.1646,0.0602,0.9881,-0.1809,-0.4907,1.3015,0.2305,-1.295,-1.8389,0.3122,0.7977,-1.9767,1.5444,-0.0986,0.8412,1.2495,0.1448,0.1207,0.1726,-0.9918,1.1146,-1.5895,0.3386,0.2579,-0.5371,-2.3234,0.9153,0.9173,-0.5221,-0.5175,0.9086,0.7244,0.0182,1.26,-2.5205,-1.0387,0.5634,1.2733,-0.0503,-1.1561,-0.6827,-0.3517,0.9101,0.0896,0.8478,0.6278,-1.1943,0.1279,0.6387,1.8335,-1.1739,-1.0671,0.5022,0.2558,-0.1016,-2.7328,0.8859,-0.3983,1.1643,1.3827,-1.064,1.5329,0.6313,-2.2881,2.7309,0.2803,1.9321,-0.7995,-0.4268,2.573,-0.6239,-1.3342,1.2172,0.2902,-1.6676,-1.1711,1.073,0.8123,-1.437,0.3235,-0.4888,-1.199,0.7414,-1.3713,-0.7727,0.3123,000000001001010000
111573,-0.1727,-0.6275,0.3765,-0.3765,-0.5448,-1.3623,0.543,0.5392,-2.5444,0.1166,-1.0936,0.5243,-1.1496,1.5986,-2.4267,1.5942,-0.3494,0.2426,-0.1962,-1.8802,-1.3985,-1.0152,-2.1276,-0.9742,-0.5438,-0.2676,0.5305,-1.817,-1.2145,-1.5221,0.1913,-0.4201,0.1353,0.2842,1.1727,0.0712,-0.1213,0.2646,-0.6451,0.2109,-0.8517,0.0672,-0.4245,-1.5701,-0.0464,1.3153,-0.7951,-1.4635,-0.7565,0.4854,-0.2373,-0.2729,-0.7042,0.3999,-0.6375,-1.1681,-2.5075,0.2569,-0.5018,-1.1606,-1.0094,-0.3202,0.5869,1.3711,0.9145,2.0814,0.1368,0.3356,0.5774,2.069,0.6749,0.283,-0.575,-1.4392,1.6151,-0.679,1.7471,-1.5421,-0.7441,0.3098,-1.4341,0.932,-2.0028,0.3232,1.6378,0.4835,-0.1777,-1.2867,-0.9303,-0.1783,-1.5162,0.3003,-0.8306,1.3712,-0.7587,1.1057,-2.4682,-0.5734,0.733,2.0814,000001000000000000
111574,-1.8116,-0.8011,0.5002,2.0541,-0.0366,-0.7435,-0.4248,-1.6401,-0.364,-0.356,1.9953,1.4336,-0.6934,1.5327,-0.0062,-0.1286,0.596,0.4523,0.3694,-0.249,1.105,0.8179,0.2981,-0.5473,0.0686,-2.6406,0.0192,1.0462,-0.3298,1.0348,-0.3194,-1.4056,-0.0115,-1.0355,1.0163,-2.204,-0.3657,-0.4487,0.2108,-1.139,0.4123,-0.3059,-1.3779,1.2975,0.3314,-0.7615,1.7007,-0.8277,-0.0371,-0.0625,-0.9651,0.9107,-2.8665,0.1309,0.3529,-1.4341,-1.2853,0.2633,-0.8692,0.1604,-0.3975,-1.3968,0.1118,-1.1363,-2.2042,-0.364,-0.7227,0.2982,-0.2709,0.8626,-0.6213,0.1055,-1.3771,0.896,0.8588,0.4364,3.14,-0.2838,1.1108,-1.2454,-1.9719,-0.5543,2.2074,0.0675,-1.4495,-1.1434,0.5228,-0.5161,-1.185,0.8917,0.4903,-0.6965,-0.615,1.1452,0.2991,-1.635,-1.2118,2.5396,-0.332,-0.8728,010000000001011010
111575,-1.3629,-2.5291,-0.7737,0.4018,-2.2914,-0.7505,0.2254,-0.1756,-1.685,-1.0946,-0.2587,-0.0767,0.8381,0.1967,-1.9842,0.7709,-1.2409,-1.0902,-2.6286,0.3484,-0.3722,1.3481,1.3764,0.4947,1.5463,0.6294,-1.4301,-0.9388,-1.7859,0.3632,0.2061,-0.3688,-1.4731,0.6759,0.7372,1.4202,-1.7129,-2.173,-0.6776,-1.1714,1.529,0.4293,-1.2015,-1.0635,-0.6596,-0.5851,-1.4694,0.9905,0.143,0.0387,-1.9831,1.748,-0.8216,0.4767,0.6772,-1.7804,-0.8312,-0.911,-0.5943,-1.3114,-0.4392,-1.3546,-0.8386,0.6869,0.1379,-0.3913,-0.8951,-2.3759,2.0199,-0.9658,-1.4947,-1.4186,1.1729,-0.1263,-0.3274,-0.0641,-0.4496,0.4439,-1.8512,-0.2407,2.458,1.8974,-0.0217,-0.793,0.5451,0.1267,-0.0844,0.8514,1.498,0.0943,-0.1858,-1.2545,-0.2332,-1.305,0.259,-0.7423,-0.4198,-0.2512,0.6364,1.073,010000000000010000
111576,-0.83426,3.4684,-0.16318,-0.36712,0.014662999999999999,0.61249,0.8003399999999999,-0.10995999999999999,1.9158,0.80174,0.1532,-0.15759,0.25428,-0.28761,0.85272,0.76658,-1.8739,-3.1019,-0.67071,-0.14941,0.23399,-0.23636999999999997,-1.0866,1.4558,-1.6194,0.93081,0.64088,0.6778,-0.084399,-1.6255,0.41811000000000004,0.036402,-1.8622,-0.31495,0.53192,-0.17637,1.1418,-0.3603,-0.20121,-1.0811,0.14114000000000002,-1.0129,0.52736,-0.0014908,-0.093189,1.1738,-0.84305,-1.0564,0.13785,-1.5529,-0.7364,-0.094912,1.7042,-0.21827,2.6903,-0.48627,0.65349,1.5697,-1.0704,-0.17429,-0.48535,-0.7822600000000001,-0.28576999999999997,1.6065,0.9580799999999999,-2.8515,-0.56016,-0.13708,-1.4057,-2.3037,0.59135,2.4735,1.3005,-0.41058,1.181,1.6251,0.71238,0.81596,1.2094,-0.9579,1.2811,0.56308,-0.68592,-0.15441,-0.54833,0.1469,0.46763000000000005,-0.33126,-0.97541,1.2233,0.70875,-0.51493,-0.85221,-1.9036,0.72109,1.2355,-0.50879,0.2108,1.6068,0.21984,000001000001001000
111577,1.626,0.8872,0.144,0.0458,0.364,-1.5285,-1.0286,-2.2475,-1.0154,1.2506,-1.1523,0.1504,-1.3845,-2.0063,0.8672,-0.343,-0.6585,0.5181,-0.1213,-0.2872,-1.2996,-0.7326,0.2644,-0.5288,0.8617,0.2929,-0.8877,0.9568,-1.0004,1.7484,-0.5568,-3.5841,2.8766,0.6043,-1.0254,-0.218,0.7552,-1.0444,-1.2364,1.0424,0.6288,1.102,-2.4688,-1.6452,0.373,0.2733,-1.5253,-0.564,0.706,0.6209,-0.2279,-1.5557,0.7225,0.1344,-0.471,0.3564,-1.855,0.6426,0.9311,0.7433,0.559,-0.7544,0.1751,-0.5762,-1.3742,1.0229,-1.0588,0.3042,0.6198,-1.2481,-1.0334,0.8679,-1.098,-1.2036,0.8522,1.656,0.1478,0.2572,0.0736,-0.5809,1.0685,-0.2998,-0.8303,0.8257,-1.2883,0.8086,-1.3405,0.1389,-0.3686,-0.8817,0.3745,-1.3287,-0.456,-0.2383,-0.9221,-0.8048,0.0892,0.7901,-0.1662,0.4438,000000001010000000
111578,-0.0906,1.6231,0.6205,-0.2309,-0.1126,0.2849,-2.1331,1.5844,-0.5629,-3.4798,0.8201,0.5641,-0.2821,-0.7087,-1.2602,0.1851,-0.6581,0.6096,-0.4483,-1.3102,0.2882,-0.8506,0.6783,-0.846,-1.4086,0.6206,0.1023,-0.1421,-0.8685,-0.1777,-1.5145,0.5642,-1.3629,-0.3575,-0.4897,-2.316,-1.5964,-0.8851,0.1071,-0.1513,-1.1683,0.7452,0.2105,-1.115,-1.3329,0.2373,0.7266,0.0416,0.8,-1.6339,-0.6398,0.3343,-0.9591,-0.0375,0.3081,-0.1065,-0.3582,-0.4401,-1.2239,-0.2907,0.7516,0.8767,1.4998,-1.4342,1.0847,0.5479,0.7024,0.5541,-0.4523,0.7433,-0.1943,-1.9668,0.7168,-0.5854,0.5786,-0.9618,0.4512,-0.7787,1.2847,0.0985,-1.0358,2.4575,-1.4878,-1.2282,-1.6744,-0.5051,-0.6685,-1.5029,-2.7844,0.5864,-0.483,-0.8754,0.5622,-1.0426,-0.2243,-0.0252,1.453,3.0992,2.2371,0.0773,000001000011010000
111579,0.1767,-0.0961,1.0822,-1.9775,0.3723,-0.9531,-0.0572,-1.1849,-2.0529,-2.3621,-0.2023,-1.1741,-0.6113,0.0167,1.0378,-2.1161,0.3464,-0.8496,-1.0935,1.2989,-0.9134,-1.2287,-0.227,0.153,0.1184,-1.5369,-0.6328,-1.8883,0.4346,0.1173,-1.5935,1.5302,-2.2656,-0.0752,-0.1056,-0.2866,2.0571,0.0107,-1.6392,-1.7658,-0.7157,0.2567,0.6225,-1.7525,1.8679,-0.9454,-1.0039,-0.6716,1.0427,1.3061,2.0046,-0.4733,-1.6008,1.8465,-0.2462,1.0178,-0.5855,1.9131,1.2066,-1.6399,-1.6058,-0.7787,-0.2892,0.7038,-1.5647,-0.3474,0.5718,-0.8686,0.9195,1.0049,-1.7783,0.8027,-0.9745,0.0767,-0.4301,1.081,0.3938,-0.4315,-0.5981,-0.9899,0.4058,0.0805,-0.3146,-1.2633,0.5113,-1.9103,-2.5011,1.5088,-0.8482,-0.1625,0.8652,1.8401,-1.2282,2.0854,-1.5449,-0.3557,0.1608,-0.4448,-1.3053,0.2139,000000000000010000
